Number,FileName,Segment,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12,zcr,rms,spectral_centroid
11,Engine,1,-415.77142333984375,13.37944221496582,15.494969367980957,11.791708946228027,10.3374605178833,7.058055877685547,-3.7605412006378174,15.06045150756836,-2.5002760887145996,1.0323386192321777,-4.296817302703857,-2.423687696456909,4.78104829788208,37.88295364379883,22.207271575927734,10.805091857910156,12.755200386047363,5.606757164001465,5.967433452606201,5.2804083824157715,4.812990665435791,5.608453750610352,3.4820806980133057,4.150912761688232,4.505495548248291,8.930333137512207,0.3787335753440857,0.9857265949249268,0.34933117032051086,0.182941272854805,0.05408165976405144,0.0775967389345169,0.11696496605873108,0.1077282503247261,0.26806649565696716,0.09754841029644012,0.12529172003269196,0.0937313511967659,0.3197716346153846,0.0042012217454612255,4446.146788332883
12,Engine,2,-434.2265930175781,-5.9454240798950195,5.547634601593018,22.705291748046875,13.288195610046387,7.708252906799316,-2.1230850219726562,11.411137580871582,5.324077606201172,3.3404781818389893,-4.434902667999268,-2.356745958328247,12.581694602966309,8.049038887023926,5.726284503936768,8.175091743469238,4.390420436859131,3.9845685958862305,5.550388813018799,5.747862815856934,5.349752902984619,5.6816253662109375,3.8967883586883545,4.151144504547119,3.4934334754943848,2.834451198577881,0.6383637189865112,0.9858090877532959,0.3527056872844696,0.34584057331085205,0.16391697525978088,0.2657064199447632,0.33527788519859314,0.27447962760925293,0.5478770136833191,0.1910560429096222,0.37690237164497375,0.4794005751609802,0.41876502403846155,0.002475289162248373,4844.046803374645
13,Engine,3,-412.3817443847656,41.665618896484375,3.568018913269043,9.519229888916016,-3.1462132930755615,-3.0678083896636963,4.30086088180542,-1.6718405485153198,3.144211530685425,-6.368450164794922,7.964534759521484,-0.6643880009651184,15.432029724121094,13.488090515136719,21.102914810180664,5.914818286895752,9.832295417785645,8.9527587890625,7.191279411315918,6.6723856925964355,9.932889938354492,3.8278796672821045,6.9802751541137695,8.296553611755371,4.188022136688232,4.358199596405029,0.32895299792289734,0.9561636447906494,0.2570717930793762,0.17934241890907288,0.1904023140668869,0.2854139506816864,0.16039317846298218,0.1773567795753479,0.351644366979599,0.1565367430448532,0.18676745891571045,0.24853309988975525,0.2654897836538462,0.0029767113737761974,3611.7463886919577
14,Engine,4,-425.50677490234375,31.646442413330078,-3.1217236518859863,8.940618515014648,7.72626256942749,4.002154350280762,15.7857084274292,-5.46560525894165,5.822258949279785,-7.561073303222656,16.13679313659668,-0.5545323491096497,2.8194634914398193,21.98216438293457,19.342140197753906,5.977423667907715,10.923013687133789,9.124390602111816,5.18247127532959,10.115202903747559,7.948403835296631,8.022950172424316,5.148024559020996,5.581489562988281,8.013106346130371,7.2014241218566895,0.628711462020874,0.9576062560081482,0.32147228717803955,0.34659242630004883,0.21786391735076904,0.4723508656024933,0.1769683063030243,0.10852721333503723,0.31494903564453125,0.09938005357980728,0.06161816045641899,0.16264104843139648,0.2946063701923077,0.0033254947047680616,3709.6454826915756
15,Engine,5,-427.77490234375,55.48281478881836,-7.681371688842773,10.191901206970215,6.419823169708252,-4.416470527648926,0.9655405282974243,-0.17662420868873596,7.250056266784668,-8.742851257324219,13.491578102111816,-2.435884714126587,3.498418092727661,34.5914306640625,24.037221908569336,12.851234436035156,18.75058364868164,12.395856857299805,9.698248863220215,7.240065574645996,11.334068298339844,7.773881912231445,6.970873832702637,5.944616317749023,8.221641540527344,5.811634063720703,0.2183218151330948,0.5358427166938782,0.3563583493232727,0.7740496397018433,0.3078431189060211,0.315567284822464,0.25266364216804504,0.3377719223499298,0.5456615090370178,0.19510655105113983,0.1535530537366867,0.22242772579193115,0.23379657451923078,0.0029027906712144613,3294.892099430551
16,Fall,0,-510.3406982421875,68.33871459960938,8.366400718688965,25.72254180908203,12.567750930786133,11.18875503540039,8.278558731079102,12.343239784240723,8.788969039916992,5.372644901275635,1.3045741319656372,2.328740358352661,-0.12734556198120117,247.93283081054688,38.05567169189453,34.33713150024414,12.893139839172363,13.261353492736816,8.075562477111816,7.246936321258545,6.408517360687256,7.230254650115967,5.500671863555908,7.124016761779785,4.596139907836914,5.245772361755371,0.6374247670173645,0.5780685544013977,0.5083663463592529,0.46894100308418274,0.4591282606124878,0.4626414179801941,0.5813995003700256,0.6543965935707092,0.5936760306358337,0.5109201669692993,0.5320148468017578,0.6215229034423828,0.061283052884615385,0.014313772320747375,1737.039601001549
17,Hit,0,-606.9486694335938,67.49715423583984,14.381491661071777,27.923736572265625,15.496134757995605,16.1048526763916,14.437739372253418,4.559946537017822,9.532843589782715,3.209907054901123,6.244955062866211,3.738438129425049,3.716503620147705,128.86614990234375,43.318702697753906,14.917924880981445,11.029071807861328,9.308984756469727,9.839818954467773,11.356842994689941,6.848114013671875,5.589718818664551,7.670026779174805,5.266353130340576,4.5822434425354,5.754239559173584,0.6990735530853271,0.5508741736412048,0.5023725628852844,0.5252257585525513,0.5486187934875488,0.5464352369308472,0.5385242700576782,0.5699692964553833,0.569463849067688,0.6175323128700256,0.678485631942749,0.784972071647644,0.0993915264423077,0.001326261437498033,2493.307569498879
18,Hit,1,-535.1796264648438,130.10670471191406,19.891376495361328,15.509041786193848,16.936424255371094,11.131016731262207,-0.41406410932540894,-2.8566155433654785,6.460617542266846,5.0642876625061035,0.26023271679878235,-3.245973587036133,-2.339857578277588,138.05560302734375,48.41326141357422,30.04549217224121,12.554482460021973,11.207303047180176,7.597439289093018,11.522285461425781,9.248075485229492,6.414820671081543,7.744405746459961,6.121418476104736,4.530717372894287,5.593704700469971,0.5778164267539978,0.45623236894607544,0.3582005500793457,0.4004557132720947,0.4287922978401184,0.435104101896286,0.37220847606658936,0.39261338114738464,0.46939799189567566,0.612023651599884,0.798198938369751,0.7096817493438721,0.03249699519230769,0.009118163026869297,1015.0873526344974
19,Hit,2,-574.0559692382812,125.19509887695312,32.27128601074219,18.895828247070312,20.87523651123047,14.437668800354004,3.0097289085388184,-0.0395863838493824,7.7056145668029785,6.873474597930908,3.602564811706543,1.3170101642608643,-0.7315762639045715,124.65180969238281,58.4028434753418,26.107736587524414,10.989607810974121,8.397868156433105,7.177192211151123,11.075047492980957,9.204704284667969,4.727020740509033,6.75701379776001,6.551123142242432,5.961189270019531,5.904127597808838,0.6634476780891418,0.5004919171333313,0.497175008058548,0.45500266551971436,0.3810819685459137,0.37661823630332947,0.38265159726142883,0.4349603056907654,0.5236740708351135,0.7410097718238831,0.8077180981636047,0.7047559022903442,0.021657151442307693,0.00709313852712512,885.4425476696825
20,Hit,3,-555.9321899414062,105.94181823730469,17.913185119628906,18.788585662841797,14.083690643310547,14.593436241149902,9.515968322753906,2.5192413330078125,8.606287956237793,8.127318382263184,4.163280963897705,0.537607729434967,-1.9587903022766113,181.0391082763672,39.31208801269531,30.445810317993164,10.60372543334961,10.16783332824707,10.121257781982422,15.455337524414062,10.899422645568848,5.6648736000061035,9.000409126281738,8.241035461425781,5.908545017242432,6.5123186111450195,0.5974810123443604,0.48027342557907104,0.513581395149231,0.5303493142127991,0.5413511991500854,0.5820583701133728,0.5728215575218201,0.6199031472206116,0.6218550801277161,0.7033549547195435,0.7617422342300415,0.6754769086837769,0.03067157451923077,0.009887319058179855,1186.3849236492124
